What are the potential interactions between antimalarial drugs like artemether-lumefantrine and antibiotics such as doxycycline?	Answer not found in given resources. 
How does the use of the antiretroviral drug efavirenz affect the use of oral contraceptives?	It lowers the blood concentration of hormonal oral contraceptives thereby reducing its efficacy. 
Can amlodipine be used safely with common antimalarial- arthemeter lumefantrine?	It is predicted to increase the risk of bradycardia
What risks are associated with combining the anti-diabetic drug metformin and the antacid drug aluminum hydroxide?	Answer not found in the resources given. 
How does the antituberculosis drug rifampicin affect the use of the anticoagulant warfarin?	It leads to accelerated metabolism of warfarin thereby reducing its anticoagulant effect 
What are the risks of using anti-epileptic drugs like phenytoin with antimalarial drugs such as quinine?	An overdose of quinine can lead to convulsion which can be intractable
Are there any known interactions between the anti-asthmatic medication salbutamol and common NSAIDs like ibuprofen?	It is contraindicated due to hypersensitivity leading to bronchospasm. 
How does the use of the antifungal drug fluconazole affect the effectiveness of antiretroviral therapy?	It slightly increases exposure to protease inhibitor (tipranavir)
What should be considered when using antihistamines with antibiotics, such as ciprofloxacin?	Answer not found in the resources given
How do the antidiabetic drugs sulfonylureas interact with commonly used antihypertensive medications?	Masking of hypoglycemic signs such as tremors
Is there any issue with using omeprazole and the anticoagulant clopidogrel together?	Yes there is,Omeprazole is noted to decrease the efficacy of  clopidogrel and should be avoided.
What are the potential risks of combining the antidepressant fluoxetine with nonsteroidal anti-inflammatory drugs (NSAIDs) like naproxen?	Answer not found in given resources. 
What are the potential interactions between the immunosuppressant cyclosporine and common antifungal drugs like ketoconazole?	Decrease in absorption and hence a reduction in its antifungal properties 
What are the common side effects of combining the anti-malarial drug chloroquine with the antibiotic tetracycline?	Answer not found in given resources
How can the side effects of the antihypertensive medication captopril be influenced by taking potassium supplements? 	It increases the risk of hyperglycemia which is a side effect of captopril 
What are the potential side effects of using the anti-inflammatory drug diclofenac with corticosteroids?	Increased risk of Gastrointestinal bleeding  
Which medications should be avoided while using anti-epileptic drugs?	Chloroquine and mefloquine should be avoided.
What side effects might arise from using the antiretroviral drug tenofovir in combination with other antiretrovirals?	Combination with lopinavir,darunavir, atazanavir increases the risk of renal impairment. Combination with protease inhibitors increases exposure to tenofovir. Combination with tipranavir decreases exposure to tenofovir.
How do the side effects of the antimalarial drug mefloquine compare with those of artemisinin-based combination therapies?	They both cause gastrointestinal discomfort such as nausea,vomiting,abdominal pain,headaches,skin reactions. However,artemisinin based combinations do not cause neuropsychiatric reactions unlike mefloquine.
Are there any specific side effects associated with the use of the anti-tuberculosis drug isoniazid and vitamin B6 supplements?	Deficiency of vit B6 is rare but it can be seen in Isoniazid therapy and it is characterized by peripheral neuritis
What are the known side effects of combining the anti-asthmatic drug prednisolone with beta-blockers?	Increased risk of hypokalemia if high doses of prednisolone is given with high dose of salbutamol
How might the use of the antihypertensive drug losartan affect the side effects of a commonly used diuretic?	Answer not found in given resources
What are issues that might arise from using antidiabetic medications in conjunction with insulin?	Weight gain and hypoglycemia 
Which medications can amplify the side effects of atorvastatin?	Azole Antifungals,cyclosporine,erythromycin,niacin, fibrinic acid derivatives 
What potential side effects may occur when combining the warfarin with nonsteroidal anti-inflammatory drugs (NSAIDs)?	Anticoagulant effect is enhanced 
What are the possible side effects of using the immunosuppressant drug methotrexate in combination with non-biologic disease-modifying antirheumatic drugs (DMARDs)?	Increased toxicity of methotrexate.
What is the recommended dosage adjustment for the antimalarial drug artesunate in patients with renal impairment?	Answer not found in given resources. 
How should the dosage of the anti-hypertensive medication lisinopril be adjusted for elderly patients?	A lower starting dose is required in elderly patients.Initially give 5mg once daily and give usual  maintainance dose of 20mg once daily,maximum 80mg per day.  
What are the dosage considerations for the anti-diabetic drug glibenclamide in patients with liver disease?	There is an increased risk of hypoglycemia and jaundice in severe liver disease.Avoid or use small dose.  
How does the dosage of the anti-tuberculosis drug ethambutol vary with different levels of renal function?	Ethambutol:-If creatinine clearance is less than 30mL/min/1.73m^2 use 15-25mg/kg thrice weekly
What is the appropriate dosage of the antiretroviral drug nevirapine for a patient with a history of liver disease?	For modified-release preparations, manufacturer advises avoid. For immediate-release preparations, manufacturer advises caution in moderate impairment and chronic hepatitis (increased risk of hepatic side effects; consider interrupting or discontinuing treatment if hepatic function worsens); avoid in severe impairment.
How should the dosage of the antihistamine loratadine be adjusted for patients with kidney impairment?	Use with caution in severe renal impairment
What are the dosage recommendations for using antimalarial drugs in pediatric patients?	For patients between 5kg and <15kg we give (20/120)mg of arthemeter lumefantrine twice daily for 3 days. 15kg - <25kg we give (40/240)mg of arthemeter lumefantrine twice daily for 3 days. 25kg - <35kg we give (60/360)mg of arthemeter lumefantrine twice daily for 3 days 35kg and above we give (40/480)mg of arthemeter lumefantrine twice daily for 3 days
How should the dosage of the anti-inflammatory drug naproxen be adjusted in patients with peptic ulcer disease?	500/20mg naproxen/esomeprazole twice daily 
How does the dosage of the antiasthmatic drug theophylline need to be adjusted for smokers?	Smoking increases theophylline metabolism thereby reducing plasma-theophylline concentration.So the dose should be increased
How should the dosage of the anticoagulant warfarin be adjusted in patients with a high risk of bleeding?	An INR of 0.5units of the target is satisfactory,values higher than this would require adjustment to the dosage.INR of 5.0-8.0,withhold 1 or 2 doses of warfarin and reduce subsequent maintenance dose.INR >8.0 stop warfarin,give intravenous preparation of vitamin K orally. 
